,x
33,"카드업계 ‘요일마케팅’, 고객 라이프스타일 풍족

카드업계가 요일별로 가맹점에서 할인 혜택을 제공하는 ‘요일 마케팅’에 나섰다.

현대카드는 29일까지 요일별로 지정된 온라인몰에서 50% M포인트 결제 혜택을 제공하는 ‘M포인트 위크’를 진행한다. 23일 티몬, 24일 현대H몰, 25일 CJ몰, 26일 인터파크, 27일 하이마트쇼핑몰, 28일 홈플러스몰, 29일 위메프에서 이용금액의 50% M포인트 결제 혜택을 제공한다. 매일 오전 10시에는 선착순으로 ‘M포인트 핫딜’ 이벤트도 진행한다.


롯데카드는 9월 들어 ‘렛츠 엘’ 이벤트를 진행하고 있다. 9월 달력에 알파벳 L이 그려지는 매주 월요일과 마지막 주가 이벤트 대상기간이다. KTX·SRT 온라인 승차권 예매 사이트에서 3만 원 이상 결제 시 3000원을, 카카오톡 선물하기에서 2만 원 이상 결제 시 3000원을 결제일 할인해준다.

BC카드는 요일별로 특정 온라인 가맹점 브랜드 혜택을 제공하는 ‘BeColor-FULL’(사진) 플랫폼을 강화했다. 카카오톡 주문하기(일), 위메프(월), 멜론티켓(화), 스타벅스(수), 올리브영 온라인몰(목), 야놀자·MOST(금), 마켓컬리(토) 등에서 BC카드로 결제하는 고객에게 최대 20% 할인 혜택을 제공한다.

관련기사
송혜교, 송중기와 이혼 후 결국 한국 떠나…
정형돈, 케이윌 영정사진 논란에…또 구설수
관련기사 3건 더보기

스포츠동아 정정욱 기자 jjay@donga.com"
34,"인터파크, 아동가구 컴프프로 특가 프로모션"
35,2019-09-24 9:31
36,"인터파크가 29일까지 아동가구 브랜드 컴프프로 입점 기념 특가 프로모션(사진)을 진행한다.

컴프프로 단독 기획상품을 최대 62% 할인 판매한다. 5% 추가 할인 쿠폰도 사용할 수 있다.


주요 제품은 퍼펙트 1200 기울기 높낮이 조절 책상, 오투 1060 높낮이 조절 책상, 키즈마스터 Y318 기능성 학생 의자, 멜로디 슈퍼싱글 침대 등이다. 구매 고객에게 경기도 파주 헤이리 마을에 위치한 역사 체험관 한국 스토리 뮤지엄 초대권을 증정한다.

스포츠동아 정정욱 기자 jjay@donga.com


관련기사
‘조국 여배우 논란’ 김성령, 충격 고백
[단독] 무너지는 TS엔터, 소나무 멤버들 소송 제기
관련기사 3건 더보기"
37,"진에어 객실승무원, 젤리 목에 걸린 어린이 응급환자 생명 구해"
38,2019-09-24 9:22
39,"부산~괌 LJ647편에서 호흡곤란 어린이 환자 발생
진에어 객실승무원이 하임리히법 등 응급조치 실시해 회복
해당 어린이 승객은 기내에서 정상 회복 후 현지 의료진 인계

기내에서 호흡곤란을 일으킨 5세 어린이가 진에어 객실승무원들의 신속한 응급처치로 귀중한 목숨을 구했다.

24일 진에어에 따르면, 최진채 진에어 객실승무원은 지난 14일 김해공항을 출발해 괌으로 향하던 LJ647편에서 기내순회 중 구토와 함께 호흡곤란을 일으키며 의식을 잃어가는 어린이 응급환자를 발견했다.

이에 기내 응급 환자 소식을 듣고 달려온 이희연 진에어 객실사무장은 해당 어린이 승객이 의식이 없거나 기침을 할 수 없을 만큼 위급한 상황이라고 판단, 인위적으로 이물질을 제거하려는 가족 일행을 제지하고 기도 폐쇄에 대한 응급처치법인 하임리히법을 바로 실시해 목에 걸려 있던 젤리를 안전하게 제거했다.

응급 조치 이후에도 어린이 승객의 호흡, 맥박, 의식 등이 불안정한 상태가 이어지자 산소 제공 및 지속적으로 환자 의식을 확인하라는 응급환자대응 (EMCS ; Emergency Medical Call System)팀 전문 의료진의 자문에 따라 추가 응급 조치를 실시하고 동시에 괌 공항에는 즉각적인 환자 이송을 위한 응급차 대기를 요청했다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

곧이어 해당 어린이 승객은 의식 및 호흡을 정상 회복됐으며, 괌 공항 도착 직후에는 절차에 따라 보호자와 함께 우선하기 및 현지 의료진에게 인계됐다. 어린이 승객의 부모는 귀국한 이후 홈페이지를 통해 감사글을 남기며 진에어 객실승무원, 괌 현지 직원 그리고 아이를 걱정해준 탑승객들에 대해 고마움을 전했다.

이희연 진에어 객실사무장은 “그 동안 철저하게 비정상 상황에 대비한 안전 훈련을 받아 왔기에 의료진이 없는 상황 속에서도 당황하지 않고 응급처치를 실시하고 승객의 생명을 구할 수 있었다”고 설명했다.

진에어는 매년 모든 객실승무원을 대상으로 다양한 비상상황에 대처하기 위해 심폐소생술, 응급처치, 비상탈출, 항공보안 등의 체계적인 안전교육을 정기적으로 이수하도록 하고 있다. 또한 ▲임직원들의 안전 의식 함양 및 안전 문화 정착을 위한 ‘SAFeRIDAY(세이프라이데이)’ 사내 캠페인, ▲임직원 대상으로 AED 사용법 및 심폐소생술 교육 등 안전의식을 높이기 위한 다양한 활동도 펼치고 있다.

한편 올해 1월에도 진에어 객실승무원들은 인천공항 세관신고장에서 의식을 잃고 쓰러진 중국인 여행객을 발견하고 심폐소생술을 시행해 생명을 구한 바 있다.

【서울=뉴시스】"
40,"주거용 오피스텔 ‘울산대 유파티오 131’, 무거동에 상륙"
41,2019-09-24 9:20
42,"‘울산대 유파티오 131’ 조감도

소형 아파트 대안으로 떠오른 주거용 오피스텔…울산대 풍부한 수요 갖춰

1~2인 가구가 꾸준히 증가하면서 소형 아파트에 대한 수요가 늘어나고 있지만, 반대로 공급은 점차 감소하고 있다. 2015년 서울·인천·경기 등 수도권에 공급된 아파트 총 27만 1,560가구 중 25.8%가 전용 59㎡ 이하 소형 아파트였지만, 올해 공급되는 아파트 27만 1,666가구 중에서는 12.6%만이 소형 아파트인 것으로 나타났다.

이처럼 소형 아파트 공급량이 수요에 미치지 못하다 보니, 주거용 오피스텔이 대안으로 주목받고 있다. ‘아파텔’이라 불리는 아파트 단지 내 전용 84㎡ 주거용 오피스텔은 풍부한 생활 인프라와 쾌적한 생활 환경을 갖추고 있음에도 아파트 대비 분양가와 대출에 대한 부담이 낮다는 게 장점이다.

이에 전국의 주거용 소형 오피스텔에 대한 관심이 높아지면서, 울산시 남구 대학로131(무거동)에 상륙하는 ‘울산대 유파티오 131(울산대 U-파티오 131)’ 역시 주목받고 있다.

오피스텔 275실, 도시형주택 44세대 규모의 울산대 유파티오 131은 도보 1분 거리에 울산대, 15분 거리에 울산 과학기술원이 있다. 울산대 재적 학생 1만8,056명(2018 한국대학교육협의회 기준)과 약 2,500명의 임직원을 포함한 기본 2만여 명의 수요를 갖고 있으며, 다수의 초, 중, 고교와 인근 지역의 수요까지 흡수할 수 있을 것으로 보인다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

더불어 인근에 문수체육공원, 무거 홈플러스, 굴화 하나로마트, 시외버스터미널, 강서병원 등 편의시설이 밀집되어 있고, 오피스텔 건물 내에는 루프탑 정원, 중정휴게실, 북카페, 피트니스 센터, 애견셀프 목욕실, 코인세탁실, 각층 독립 출차방식 주차 시스템의 7대 특화시설과 간편조식, 홈케어, AI스마트홈, 공유차량 존 등의 4대 특화 서비스 등이 제공되어 입주자들은 우수한 생활 프리미엄을 누릴 수 있다.

특히 내부 공간은 무거동 최초의 복층 구조에 개방감을 더한 3인 1실로 구현되어 기숙사를 대신할 수 있을 것으로 보인다.

관계자는 “저금리 기조와 소형 아파트의 공급 부족으로 주거용 오피스텔이 주목받고 있다”면서 “특히 울산대 유파티오 131는 공실률 우려를 최소화하기 위해 3인 1실이라는 공유 경제 프리미엄을 더했다”고 말했다.

‘울산대 유파티오 131’ 홍보관은 9월 중 울산시 남구 삼산동 220-5번지에 오픈할 예정이다.

동아닷컴 최용석 기자 duck8@donga.com"
