"","x"
"11","2019-09-24 14:22"
"12","조국, 검사 등 검찰 구성원에 이메일 보내
""제도 개선 방안 등 편안하게 얘기해 달라""
법무부, 홈페이지 통해 '국민 제안' 받는다

조국(54) 법무부 장관이 “검찰 개혁에 대한 생각, 업무와 관련된 고민과 애로사항을 직접 듣는 게 무엇보다도 중요하다”며 일선 검사 및 직원 등 검찰 구성원들에게 직접 이메일을 보냈다.

24일 법조계에 따르면 조 장관은 이날 오전 ‘검찰 구성원들의 의견을 듣습니다’라는 제목의 이메일을 검찰 구성원들에게 보냈다.

조 장관은 앞서 지난 20일 의정부지검을 방문, 첫 ‘검사와의 대화’ 자리를 가진 것을 언급하며 “검사들과 직원들을 만나 솔직하고 다양한 의견들을 들을 수 있었다”며 “앞으로도 여러분들을 직접 만나 현장의 생생한 목소리를 계속 들을 예정”이라고 밝혔다.

앞서 법무부는 전국 검사와 검찰 직원들로부터 검찰 조직 문화 및 근무 평가 제도 개선, 검찰 업무 고충 등과 관련한 의견을 장관 명의 이메일로 받겠다는 계획을 밝힌 바 있다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

이와 관련해 조 장관은 “평소 생각하는 검찰 제도 개선 방안이나 애로사항 등에 대해 이메일로 편안하게 이야기해 주시면 정책과 검찰 개혁에 적극 반영하도록 하겠다”고 설명했다.

이어 “의견을 주신 분의 이메일 주소는 업무 담당자 외에는 볼 수 없고, 일정 기간이 지나면 모두 삭제돼 비실명 처리된다”고도 설명했다.

그러면서 “바쁜 업무 중에 또 다른 고민을 보태는 것은 아닌지 걱정도 되지만, 여러분께서 제안해 주신 의견이 국민을 위한 검찰 개혁에 밑거름이 될 것이라는 점을 약속드린다”고 강조했다.

한편 법무부는 법무·검찰 개혁에 관한 국민의 의견을 받기 위해서 인터넷 홈페이지에 공간을 마련, 제안을 접수한다.

국민 누구나 법무부 홈페이지 ‘열린 장관실’에 신설된 ‘국민 제안’ 공간에 접속해서 다양한 의견을 제안할 수 있다. 접수된 국민 제안은 조만간 발족될 제2기 법무·검찰개혁위원회에서 안건으로 건의, 정책에 반영할 예정이다.

【서울=뉴시스】


꼬리 무는 조국 의혹
조국, 검사들에 이메일…“검찰 개혁, 직접 듣겠다”
조국 자택 ‘11시간 압색’ 논란에…檢 “영장 추가발부 탓”
홍준표 “조국 ‘큰 뜻’ 돈 마련하려다 윤석열에 걸린 듯”"
"13","조국 부인, 檢 소환 불응설에 “자숙하는 자세로 기다릴 것”"
"14","2019-09-24 14:21"
"15","조국 법무부 장관. 사진=뉴시스

조국 법무부 장관의 부인인 정경심 동양대 교수(57)가 자신이 검찰 소환에 불응했다는 언론 보도와 관련해 “명백한 오보”라며 “검찰의 소환 및 조사에 성실히 임할 것을 약속한다”고 반박했다.

정 교수는 24일 자신의 페이스북을 통해 “어제 오전에 올리려던 글이 압색(압수수색)으로 지체되어 이제 올린다”며 이같이 밝혔다.

이어 “검찰발로 표시되는 명백한 오보에 대해서는 검찰에서 사실관계를 바로잡아 주시기를 간곡하게 부탁드린다”고 덧붙였다.

정 교수는 “수사대상자에 불과한 사람이 언론 기사에 어떠한 언급을 하는 것 자체가 불순한 의도가 있는 것으로 오해를 받게 되므로 자숙하는 자세로 검찰의 소환을 기다리고 있겠다”고 적었다.

사진=정경심 동양대 교수 페이스북 캡처

검찰은 지난 6일 사문서위조 혐의로 정 교수를 기소했지만, 현재까지 소환하지 않은 것으로 전해졌다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

이와 관련, 검찰이 정 교수 측에 소환 조사를 수차례 요구했으나 정 교수가 관련 자료가 없고 건강상 이유로 출석하기 어렵다는 취지로 불응했다며 검찰이 24일 이후 체포영장 청구를 검토 중이라는 언론 보도가 나왔다.

검찰 관계자는 해당 보도에 대해 “전반적으로 사실과 다르다”며 “소환 일정을 검토하고 있는 중”이라고 전했다.

한편, 검찰은 전날 조 장관과 정 교수가 거주하는 서울 서초구 방배동 자택을 압수수색했다. 검찰 수사와 인사 등을 관장하는 최고 책임자인 현직 법무부 장관이 검찰의 압수수색 대상이 된 것은 헌정 사상 초유의 일이다.

장연제 동아닷컴 기자 jeje@donga.com
오늘의 핫이슈"
"16","“대학 해외캠퍼스 설립 허용, ‘재산 빼돌리기’ 우려된다”"
"17","2019-09-24 14:21"
"18","외국인 대학생들. ⓒ News1

정부가 학령인구 감소로 위기를 겪고 있는 국내 대학의 활로를 모색하기 위해 해외 캠퍼스 설립 등을 허용하겠다고 나섰지만 교육계에서는 우려의 목소리가 나온다. ‘대학 재산 빼돌리기’와 같은 사학비리가 재연되지 않을까 하는 우려가 그것이다.

24일 교육부가 발표한 규제 개선 과제 38건 가운데 고등교육 분야에서 눈에 띄는 과제는 크게 2가지다. 대학이 해외에 캠퍼스를 설치하는 것을 허용하는 과제와 기준을 초과하는 수익용 기본재산을 처분해 교육에 활용할 수 있게 한 과제다. 학령인구 감소로 재정 위기를 겪고 있는 국내 대학이 해외에 진출할 수 있는 활로를 열어주고, 법정기준 초과 재산을 활용해 교육여건을 개선할 수 있도록 돕자는 취지다.

이를 위해 국내 캠퍼스 정원과 무관하게 해외 캠퍼스에는 학과와 정원에 제한을 두지 않을 방침이다. 국내에 캠퍼스를 추가 설치할 경우 중복학과를 설치할 수 없고, 정원을 늘릴 수도 없지만 이를 풀어주겠다는 것이다. 분교와 달리 캠퍼스는 경쟁력 있는 일부 학과만 해외에 이전하는 것이다. 동남아에서 불고 있는 한류 열풍을 타고 국내 대학이 현지에 케이팝(K-Pop) 미용, 메이크업, 컴퓨터 관련 학과를 설치하는 식이다.

문제는 해외 캠퍼스 조성에 들어가는 재원이다. 해외 캠퍼스 설립을 악용해 대학 재산을 해외로 빼돌리는 등 사학비리를 우려하는 목소리가 나온다. 영화 ‘공공의적2’에 등장한 사학비리가 현실에서 재연될 수 있다는 우려다. 영화의 주요 줄거리 가운데 하나는 사립고 재단을 물려받은 주인공이 골프 장학생 사업을 활용해 학교 재산을 해외로 빼돌리려다가 실패한다는 내용이다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

사립학교개혁과 비리추방을 위한 국민운동본부(사학개혁국본)은 이에 대해 “과거 사학비리의 형태들을 볼 때 학생수 감소 등 국내 교육사업의 어려움에 따른 ‘해외시장 개척’을 이유로 각 대학들이 무분별하게 해외캠퍼스 조성사업에 뛰어들면서 재산 빼돌리기 등 사학비리가 재연되지 않을까 한는 우려가 든다”고 지적했다.

이어 “교육부는 해외 캠퍼스 구축 재원에 국내 대학의 등록금 회계를 사용할 수 없도록 하겠다는 입장이지만 교비라 하더라도 비(非)등록금 회계에서는 사용이 가능하도록 한다는 입장”이라며 “(이 경우) 해당 사업에 국내 대학 교비에서 투여되는 거액의 자금이 해외로 빠져나가게 되는 것”이라고 우려했다.

법정 확보 기준을 초과하는 수익용기본재산을 처분해 교육에 활용할 수 있도록 하겠다는 방안에 대해서도 사학개혁국본은 “토지 등 자산의 매각과 교비로의 전출 과정에서 발생할 수 있는 비리에 대한 우려가 제기된다”고 밝혔다.

현재는 학교법인이 기준액을 초과하는 수익용기본재산을 처분할 때도 이 금액만큼 다른 재산을 대체 취득해야 교육부가 허가한다. 이번 규제 개선을 통해 앞으로는 대체 취득 없이도 기준을 초과하는 자산 처분을 허가하겠다는 것이 교육부 방침이다.

사학개혁국본은 “과거 사학비리의 유형들을 볼 때 회계 조작의 방식으로 매각 자산의 가격을 축소하고 그 차액을 뒤로 돌려받는 식의 비리, 매각 실 대금 전액을 전출하지 않는 등 문제들이 발생할 소지는 다분하다”고 지적했다.

사학개혁국본은 “교육부 발표의 취지에는 공감하면서도 교육부 정책의 추진이 또 다른 사학비리 발생의 단초가 되지 않을까 하는 우려를 갖고 있다”며 “교육부의 사전적 대책 수립과 향후 적극적 관리 감독을 촉구한다”고 요구했다.

교육부는 “해외 캠퍼스 설립을 위해 대학 등록금으로 구성된 교비회계를 사용할 수 있도록 허용할지 등은 정책연구와 의견수렴을 거쳐 구체적 방안을 마련할 계획”이라며 “제도가 마련되더라도 신청이 들어오면 엄격하게 심사해 승인할 방침”이라고 밝혔다.

또 “학교법인이 기본재산을 처분할 때는 관할청인 교육부 허가를 받아야 한다”며 “기준액을 초과하는 수익용기본재산을 처분할 경우에도 처분대금을 교비회계로 전출하는 조건에 한정해 엄격하게 심사해 처분을 허가할 방침”이라고 강조했다.

(서울=뉴스1)"
"19","구찌 ‘정신병원 패션’ 논란…무대 위 모델 무언의 항의"
"20","2019-09-24 14:12"
"21","구찌 공식 인스타그램/아이샤 탄 존스 인스타그램

이탈리아 명품 브랜드 구찌가 정신 질환자를 연상케 하는 콘셉트로 패션쇼를 선보여 논란에 휩싸였다.

23일(현지시간) 블룸버그 등 외신은 전날 이탈리아 밀라노에서 열린 2020 SS(봄·여름) 구찌 패션쇼에서 모델들이 구속복(straitjacket)처럼 보이는 의상을 입고 등장해 논란이 일었다고 보도했다.

구속복은 폭력적인 정신질환자 등의 행동을 제압하기 위해 입히는 의상이다.

이날 패션쇼에서는 끈이나 결박벨트 장식이 붙은 백색 의상을 입은 모델이 무빙워크에 선 채 무기력한 표정으로 무대를 지나가는 장면이 연출됐다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

그런데 이때 모델들 가운데 한명인 ‘아이샤 탄 존스’가 말없이 자신의 양손을 펼쳐 보였다. 손바닥에는 ‘정신 건강은 패션이 아니다’라는 문구가 적혀있었다.

그는 패션쇼가 끝난 후에도 자신의 인스타그램에 ""많은 이들이 정신질환으로 고통받고 있고, 그들은 이를 이겨내기 위해 노력하고 있다""며 ""구찌는 무감각하고, 이들의 마음을 상하게 한다""고 비판했다.

논란이 일자 구찌의 크레이티브 디렉터 알레산드로 미켈레는 공식인스타그램을 통해 ""현대사회의 사회적 규범 때문에 정체성이 억압받는 것을 형상화한 것""이라고 작품 의도를 설명했다.

박태근 동아닷컴 기자 ptk@donga.com
오늘의 핫이슈"
"22","‘38명 사상’ 김포 요양병원 불, 삽시간 번진 연기로 피해 컸다"
"23","2019-09-24 14:09"
"24","24일 오전 9시 3분쯤 경기 김포시 풍무동의 한 요양병원에서 화재가 발생, 노인 2명이 숨지는 사고가 발생했다. 사고가 발생한 요양병원의 모습. ⓒ News1
경기 김포 요양병원 화재는 입원실이 있는 4층 보일러실에서 발화돼 연기가 삽시간에 건물 전체로 퍼지면서 피해가 컸던 것으로 확인됐다.

24일 경기 김포소방서에 따르면 이날 오전 9시3분 경기도 김포시 풍무동 5층짜리 건물 4층에 있던 요양병원 보일러실에서 불이 나 A씨(90·여)와 B씨(60) 등 2명이 숨지고 6명이 크게 다쳤다.

연기를 흡입한 중상자 6명 중 1명은 위급 환자로 분류됐다. 30명의 환자도 연기를 흡입해 일산백병원 등 6개 병원으로 이송돼 치료를 받고 있다.

숨진 환자는 모두 집중치료실에 입원해 있던 중환자로 확인됐다. 또 부상자는 직원 1명을 제외하고 모두 입원 환자로 나타났다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

이 불은 당시 9시3분께 119로 신고가 접수됐다.

당시 소방에는 “불이 나 연기가 자욱해 대피하기 어렵다”는 신고가 접수됐다고 한다.

조사 결과 불은 4층 보일러실에서 발생한 것으로 확인됐다. 보일러실은 환자 6명씩 총 139명을 수용할 수 있는 23개 입원실이 바로 인접해 있는 곳에 위치해 있던 것으로 조사됐다.

당시 입원실에는 집중치료실에 입원해 있던 환자 8명을 포함해 총 132명이 입원해 있었고, 직원은 30여명이 근무하고 있었다.

소방은 신고 접수 10여 분만인 오전 9시14분께 현장에 도착해 대응 10여 분만인 오전 9시24분께 대응 1단계를 발령하고 진화 및 대피 작업을 벌였다.

24일 오전 경기 김포시 풍무동의 한 요양병원에서 화재가 발생해 소방대원들이 구조활동을 하고 있다. 이날 불로 2명이 숨지고 19명이 부상했다고 소방당국은 밝혔다. ⓒ News1
이후 소방대원 56명 등 인력과 장비를 투입해 진화 및 구조 활동에 나섰고, 불은 50여 분만인 이날 오전 9시55분께 완전 진화됐다.

소방은 진화 과정에 있어 연기가 건물 전체에 가득 차면서 환자 대피에 어려움을 겪었다.

불은 보일러실에 있던 기름에 옮겨 붙으면서 삽시간에 번졌고, 연기가 심했던 것으로 전해졌다.

소방은 심한 연기로 건물 창문을 부수고 병원 직원들과 주차장 및 계단 통로 3곳을 이용해 환자들을 대피시켰다. 이후 사고 발생 1시간여만인 오전 10시5분께 132명 환자를 모두 병원 밖으로 이동시켰다.

이 요양병원은 2008년 6월 26일 개원해 11년째 운영해 오고 있는 곳이다. 병실은 6인실 23개, 139명 환자를 수용할 수 있는 규모다. 직원은 총 61명이 근무하고 있는 것으로 확인됐다.

소방은 인명 피해가 더 늘 것으로 보고 대처를 하고 있다. 또 소방시설 작동 여부 등 정확한 사고 경위를 조사 중이다.

(인천=뉴스1)"
"25","“살아있어 줘서 고맙다” 40년만에 극적 재회 4남매"
"26","2019-09-24 14:07"
"27","지난 20일 단양경찰서에서 40년전에 실종됐던 허 모씨가 경찰의 도움으로 가족을 만나 어릴적 사진을 보며 기뻐하고 있다 ⓒ 뉴스1

충북 단양에서 40년 전 헤어진 4남매가 경찰의 도움으로 유전자분석과 정보 분석 등을 통해 극적으로 재회했다.

24일 경찰에 따르면 4남매중 세째인 허 모씨(49)는 당시 9살이던 1979년 단양에서 강원도 영월 외갓집을 간다고 나간 후 실종됐다.

실종 후 가족들은 허씨를 찾기 위해 실종신고는 물론 헤어진 가족 찾기, 실종아동전문기관 등 백방으로 수소문해 왔다.

그러나 번번이 허씨를 찾지 못하던 중 마지막이라는 심정으로 지난 8월 30일 단양경찰서를 찾았다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

경찰은 실종된 허씨를 찾아 달라는 기족들의 요청을 받고 중 전국의 동명인을 검색해 수소문 끝에 한 달도 안돼 인천 계양구에 거주하는 허씨를 찾아냈다.

경찰은 실종 당시 나이로 보아 무연고자로 신규호적을 발급받을 가능성이 있다고 판단하고 최종 유전자 검사를 통해 실종된 허씨임을 확인했다.

단양경찰서 여청수사팀도 실종아동보호전문기관을 비롯한 건강보험공단 및 보건복지부, 법무부 등에 실종자의 정보가 있는지를 수사했으나 당시 기록이 전혀 없어 어려움을 겪었다.

하지만 유전자분석과 정보 분석 등 경찰의 노력 덕에 이들 남매의 극적인 만남이 40년 만에 이뤄졌다.

지난 20일 단양경찰서에서 만난 허씨 남매는 서로 “살아 있어줘서 고맙다”며 부둥켜안고 한참동안 눈물을 흘렸다.

그러면서 “단양경찰이 내 가족처럼 헤아려 주신 덕분에 소중한 혈육을 찾았다”며 거듭 고마움을 전했다.

(단양=뉴스1)"
"28","서울대 비정규직, 무기한 천막농성 돌입…“천대 말라”"
"29","2019-09-24 14:01"
"30","24일 서울대 본부 앞 학내 비정규직 공동 집회
""학교를 굴러가게 하는 우리의 노동 천대 말라""
기본급 인상·명절휴가비·근무환경 개선 등 요구

서울대학교 비정규직 노동자들이 처우 개선 및 정규직과의 차별 철폐를 요구하며 무기한 천막 농성에 나섰다. 삭발과 단식 선언으로 물러설 수 없다는 강한 의지를 보이기도 했다.

서울대 청소·경비·기계·전기·생협 비정규직 노동자들은 24일 오전 관악구 서울대 행정관 앞에서 집회를 열고 대학 본부를 향해 “인간적인 대우를 보장하고 정규직과의 차별을 철폐하라”고 촉구했다.

이들은 “우리는 3만명이 넘는 인원이 상주하는 서울대를 매일 굴러가게 만드는 사람들”이라며 “학교 당국은 학교의 일상을 유지하는 우리의 노동을 천대하며 정당한 대우를 거부하고 있다”고 주장했다.

그러면서 “지난해 3월 본부가 760여명의 청소·경비·기계·전기·노동자를 직고용 전환했으나 임금과 노동조건은 용역 시절만도 못하다”며 “생협은 별도 법인이라는 이유로 10년을 일한 노동자에게도 최저 임금을 준다”고 비판했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

또 “온가족이 함께 즐거워야 할 설과 추석에도 명절휴가비로 차별을 겪어야 한다”며 “차별도 서러운데 그만두면 먹고 살 길이 없는 청소·경비 노동자의 정년을 일방적으로 단축해 기존 근로자와 신규 입사자 간 내부 편가르기까지 하고 있다”고 호소했다.

이들은 최저임금에도 못 미치는 기본급 인상, 명절휴가비 지급, 근무환경 개선, 정년 연장(청소·경비) 등을 요구하고 있다.

기계전기 기능사로 서울대에 13년째 재직 중인 임민형 민주노총 민주일반연맹 서울대 기계전기분회 분회장은 이날 삭발을 하고 무기한 단식 농성을 선언했다.

서울대 비정규직 노동자들은 이날부터 행정관 앞에 천막을 치고 농성을 이어간다. 청소전기 분회와 전날부터 무기한 파업에 돌입한 생협 노동자들도 천막 농성에 동참하기로 했다.

한편 이날 현장에는 서울대 비정규직 노동자들과 연대 학생 및 지역단체 인사 등 450여명이 모였다.

서울대 총학생회장 도정근씨는 “파업이 지속되면 학생들이 불편하겠지만 이는 그만큼 노동자들이 하는 일이 중요하다는 뜻일 것”이라며 “우리 학생들도 학교의 구성원으로서 (노동자들의) 요구를 지지한다”고 발언했다.


【서울=뉴시스】"
"31","고수익 미끼로 투자금 8억원 가로챈 40대녀 실형"
"32","2019-09-24 13:54"
